,consistency,relevance,coherence,fluency
rouge-anyref-bart-constant-32-64_rougeLsum,0.385,0.482,0.415,0.254
bleurt-anyref-bart-default_scores,0.405,0.571,0.438,0.236
bleurt-anyref-bart-min-0.2-0.5_scores,0.449,0.495,0.393,0.288
bleurt-anyref-bart-min-0.5-0.7_scores,0.449,0.495,0.393,0.288
bleurt-anyref-bart-mean-0.2-0.5_scores,0.449,0.495,0.393,0.288
bleurt-anyref-bart-mean-0.5-0.7_scores,0.449,0.495,0.393,0.288
bleurt-anyref-bart-constant-16-32_scores,0.449,0.495,0.393,0.288
bleurt-anyref-bart-constant-32-64_scores,0.435,0.512,0.399,0.276
bertscore-anyref-pegasus-newsroom-default_precision,0.234,0.182,0.104,0.133
bertscore-anyref-pegasus-newsroom-default_recall,0.138,0.419,0.358,0.119
bertscore-anyref-pegasus-newsroom-default_f1,0.268,0.382,0.283,0.175
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,0.112,0.183,0.13,0.082
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.093,0.188,0.164,0.065
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,0.152,0.273,0.211,0.11
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,0.112,0.183,0.13,0.082
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.093,0.188,0.164,0.065
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,0.152,0.273,0.211,0.11
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,0.112,0.183,0.13,0.082
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.093,0.188,0.164,0.065
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,0.152,0.273,0.211,0.11
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,0.112,0.183,0.13,0.082
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.093,0.188,0.164,0.065
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,0.152,0.273,0.211,0.11
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,0.112,0.183,0.13,0.082
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.093,0.188,0.164,0.065
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,0.152,0.273,0.211,0.11
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,0.234,0.182,0.104,0.133
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.138,0.419,0.358,0.119
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,0.268,0.382,0.283,0.175
bertscore-anyref-pegasus-cnndm-default_precision,0.321,0.534,0.431,0.218
bertscore-anyref-pegasus-cnndm-default_recall,0.17,0.452,0.461,0.113
bertscore-anyref-pegasus-cnndm-default_f1,0.277,0.54,0.479,0.187
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.322,0.54,0.435,0.217
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.183,0.46,0.482,0.112
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.287,0.554,0.499,0.188
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.322,0.54,0.435,0.217
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.183,0.46,0.482,0.112
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.287,0.554,0.499,0.188
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.322,0.54,0.435,0.217
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.183,0.46,0.482,0.112
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.287,0.554,0.499,0.188
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.322,0.54,0.435,0.217
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.183,0.46,0.482,0.112
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.287,0.554,0.499,0.188
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.322,0.54,0.435,0.217
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.183,0.46,0.482,0.112
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.287,0.554,0.499,0.188
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.321,0.534,0.431,0.218
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.17,0.452,0.461,0.113
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.277,0.54,0.479,0.187
rouge-anyref-pegasus-newsroom-default_rouge1,0.152,0.158,0.051,0.099
rouge-anyref-pegasus-newsroom-default_rouge2,0.138,0.145,0.049,0.082
rouge-anyref-pegasus-newsroom-default_rougeL,0.131,0.164,0.08,0.061
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.131,0.164,0.08,0.061
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,0.027,0.049,-0.006,0.01
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,0.02,0.036,-0.005,-0.022
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,0.027,0.049,-0.006,0.01
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,0.02,0.036,-0.005,-0.022
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,0.027,0.049,-0.006,0.01
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,0.02,0.036,-0.005,-0.022
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,0.027,0.049,-0.006,0.01
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,0.02,0.036,-0.005,-0.022
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,0.027,0.049,-0.006,0.01
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,0.02,0.036,-0.005,-0.022
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,0.016,0.045,0.001,-0.047
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.152,0.158,0.051,0.099
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,0.138,0.145,0.049,0.082
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.131,0.164,0.08,0.061
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.131,0.164,0.08,0.061
rouge-anyref-pegasus-cnndm-default_rouge1,0.281,0.532,0.41,0.216
rouge-anyref-pegasus-cnndm-default_rouge2,0.301,0.505,0.412,0.178
rouge-anyref-pegasus-cnndm-default_rougeL,0.35,0.546,0.463,0.158
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.35,0.546,0.463,0.158
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.287,0.537,0.419,0.22
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.314,0.523,0.436,0.182
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.287,0.537,0.419,0.22
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.314,0.523,0.436,0.182
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.287,0.537,0.419,0.22
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.314,0.523,0.436,0.182
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.287,0.537,0.419,0.22
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.314,0.523,0.436,0.182
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.287,0.537,0.419,0.22
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.314,0.523,0.436,0.182
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.363,0.565,0.485,0.161
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.281,0.532,0.41,0.216
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.301,0.505,0.412,0.178
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.35,0.546,0.463,0.158
