P,R,F
2.680528014898300171e-01,1.032480899354114301e-01,1.490755362823215358e-01
7.911804616451263428e-01,3.468393062551816675e-01,4.822631208699511007e-01
6.404727647701898841e-01,3.201406707658487338e-01,4.268967577085150400e-01
9.863077799479166297e-01,3.846774065354164329e-01,5.534856577251299203e-01
6.821825355291366577e-01,3.088372970986015820e-01,4.251850537482217973e-01
5.847083330154418945e-01,2.685485611505368242e-01,3.680546447327766590e-01
8.768765330314636230e-01,2.804302212550638940e-01,4.249567874041902948e-01
9.735576907793680457e-01,3.467349917800338077e-01,5.113510396125144908e-01
6.336456239223480225e-01,2.013308125789518566e-01,3.055712299761040307e-01
9.959608316421508789e-01,3.373921559988588559e-01,5.040366285490094356e-01
9.867913722991943359e-01,3.377421461735610198e-01,5.032428870356876471e-01
2.765063941478729248e-01,1.132296451390214787e-01,1.606662855471106544e-01
2.385181635618209839e-01,1.133284521876905399e-01,1.536515804622975434e-01
6.061603426933288574e-01,2.716986685279860203e-01,3.752150537137330932e-01
7.986133918166160583e-01,4.484012494052665998e-01,5.743304542622948983e-01
9.792632460594177246e-01,2.740108005840469207e-01,4.282043608162398596e-01
9.580675959587097168e-01,3.536808627887048639e-01,5.166389511479112517e-01
9.642938971519470215e-01,2.511658800282963733e-01,3.985285730243761648e-01
7.987709641456604004e-01,3.829348633146804626e-01,5.176876391178150127e-01
8.232387304306030273e-01,4.436369040049612522e-01,5.765665890131749238e-01
8.241573050618171692e-01,3.650798932649195194e-01,5.060105105841228301e-01
7.374922037124633789e-01,2.587633031653240323e-01,3.831063765747821925e-01
9.768616557121276855e-01,3.731796932988800108e-01,5.400500263805113610e-01
9.894354939460754395e-01,3.780548142385669053e-01,5.470764211285679135e-01
9.809098839759826660e-01,3.058229978778399527e-01,4.662736230589598074e-01
2.853381633758544922e-01,8.970113957184366882e-02,1.364932060025745020e-01
1.560968011617660522e-01,-4.369093716377392411e-03,-8.989808975370645536e-03
6.492065985997517163e-01,3.895515194162726402e-01,4.869264798288722718e-01
7.638272643089294434e-01,3.680919413066779389e-01,4.967822069765684967e-01
9.796224832534790039e-01,2.336124621591200712e-01,3.772591964393973152e-01
9.427246451377868652e-01,3.694173162803053856e-01,5.308248934005969089e-01
6.833843588829040527e-01,2.966883461146304635e-01,4.137492538333386594e-01
9.903396368026733398e-01,3.739838827750645578e-01,5.429372979689479628e-01
9.772575894991556433e-01,3.927850209568676254e-01,5.603506633182997465e-01
9.652256369590759277e-01,6.449372834629482076e-01,7.732261031896326964e-01
6.390885710716247559e-01,3.346379555051067767e-01,4.392676731565570702e-01
9.876025021076202393e-01,3.869166499690005478e-01,5.560051324700383546e-01
8.580713868141174316e-01,4.545493870973587036e-01,5.942856165530134849e-01
1.828040257096290588e-01,7.924377071475119383e-02,1.105605961716042140e-01
9.599009156227111816e-01,5.081112831830978394e-01,6.644856035425967811e-01
8.240088820457458496e-01,2.674061890299382904e-01,4.037786919279091058e-01
1.123236352577805519e-01,8.064095593161052511e-02,9.388132055803785625e-02
8.923850059509277344e-01,2.313393991146432682e-01,3.674278321712852180e-01
8.376618474721908569e-01,6.045960254139369772e-01,7.022974644737032257e-01
7.376670241355895996e-01,2.689082498515122932e-01,3.941379319755007327e-01
8.481145799160003662e-01,5.097399701674778516e-01,6.367661405831824828e-01
8.214624524116516113e-01,5.195525735616683960e-01,6.365222208080528743e-01
8.593579605221748352e-01,4.831070163183741606e-01,6.185068026644270356e-01
9.912136942148208618e-01,3.225693822734885807e-01,4.867396981525092814e-01
9.135488867759704590e-01,2.727578472759988326e-01,4.200897130328234974e-01
9.345812400182087476e-01,4.765541354815164832e-01,6.312343416610887159e-01
1.653206497430801392e-01,6.708191539574828721e-02,9.543806741212756961e-02
6.722726821899414062e-01,3.256538042476699313e-01,4.387661003536780790e-01
7.323198417822519568e-01,5.008705904086430127e-01,5.948756363115558221e-01
9.468741714954376221e-01,3.461697465843624477e-01,5.069884903532332343e-01
9.507941007614135742e-01,4.028249945905473250e-01,5.658957232667497506e-01
9.737497568130493164e-01,3.318814831673753685e-01,4.950394929732704341e-01
9.243775010108947754e-01,4.423730317503213882e-01,5.983823204046517796e-01
9.817533890406290320e-01,4.870707489964034576e-01,6.511104306453336932e-01
2.418286254008610858e-01,9.333827519030482578e-02,1.346903094950399338e-01
9.734811186790466309e-01,3.517865726931227455e-01,5.168126991264557768e-01
6.162168979644775391e-01,3.073410232677871723e-01,4.101285422848426343e-01
1.139603257179260254e-01,3.185861465842915879e-02,4.979624860838985367e-02
8.881031870841979980e-01,4.753573431322971610e-01,6.192571945924048027e-01
9.634749293327331543e-01,3.611266300496127624e-01,5.253450773974016608e-01
7.715880870819091797e-01,3.107980036257225742e-01,4.431099755350111913e-01
8.014212250709533691e-01,3.801906717578983907e-01,5.157241133717127557e-01
7.221476733684539795e-01,2.555225045581198673e-01,3.774790032999960077e-01
9.591294328371683386e-01,5.206390663981438349e-01,6.749167220756149277e-01
9.956161777178446082e-01,5.143093387285868623e-01,6.782515990519250026e-01
9.192583560943603516e-01,3.523165613412857500e-01,5.093997035684673103e-01
9.868443693433488484e-01,8.189908415079116821e-01,8.951165595058532265e-01
8.391218632459640503e-02,9.142841619905084372e-03,1.648907848382593494e-02
